Sampling Technique,Model,Accuracy
Sampling1,M1,1.0
Sampling1,M2,0.6896551724137931
Sampling1,M3,0.9741379310344828
Sampling1,M4,0.9655172413793104
Sampling1,M5,0.9655172413793104
Sampling2,M1,1.0
Sampling2,M2,0.6293103448275862
Sampling2,M3,0.9224137931034483
Sampling2,M4,1.0
Sampling2,M5,0.9482758620689655
Sampling3,M1,1.0
Sampling3,M2,0.7068965517241379
Sampling3,M3,0.9224137931034483
Sampling3,M4,0.9655172413793104
Sampling3,M5,0.9655172413793104
Sampling4,M1,0.9913793103448276
Sampling4,M2,0.6637931034482759
Sampling4,M3,0.9051724137931034
Sampling4,M4,0.9655172413793104
Sampling4,M5,0.896551724137931
Sampling5,M1,1.0
Sampling5,M2,0.5948275862068966
Sampling5,M3,0.896551724137931
Sampling5,M4,0.9655172413793104
Sampling5,M5,0.9310344827586207
